Rk,Name,Pos,Age,Team,Game,GS,3P%,FT%,STL,PER,TS%,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,VORP,EFF,GmSc,FG,3P,3PA,ORB,DRB,AST,BLK,PTS,last_year_salary
123,Cheick Diallo,F,22,NOP,29,0,0,0.75,11,15.4,0.619,10,19.8,4.3,1.9,3.9,19.7,14.6,0,5.344827586,95.9,39,0,1,25,77,9,13,96,0
124,Hamidou Diallo,G,20,OKC,35,2,0.19,0.644,16,11.9,0.533,7.2,9.7,4.9,1.8,1.8,10.8,16.8,-0.1,4.914285714,115.7,67,4,21,30,50,15,9,167,
125,Gorgui Dieng,C,29,MIN,42,0,0.31,0.865,21,15.2,0.563,6.7,15.8,8.3,1.7,3.6,12.6,17.1,0.2,7.666666667,204.3,90,9,29,37,136,34,25,234,15170787
126,Spencer Dinwiddie,G,25,BRK,44,4,0.364,0.796,27,17.7,0.593,1.6,4.8,28.4,1.1,0.6,13.6,24.9,0.8,13.5,532.8,240,84,231,19,91,222,10,743,1656092
127,Donte DiVincenzo,G,22,MIL,23,0,0.246,0.818,12,8.6,0.492,4,8.1,9.7,1.6,1.5,13.9,15.3,0,6.173913043,76.6,42,17,69,13,43,27,6,110,
128,Luka Doncic,F,19,DAL,41,41,0.368,0.735,46,18.6,0.563,3.7,11.3,26.3,1.7,0.7,15.3,27.9,1.7,18.87804878,606.2,269,98,266,44,231,207,11,822,
129,Tyler Dorsey,G,22,ATL,22,0,0.229,0.625,7,7.8,0.438,4.1,9.6,10.1,1.4,0.4,9.8,18.5,-0.3,4.181818182,49.2,29,8,35,9,32,16,1,81,1378242
130,Damyean Dotson,G,24,NYK,33,9,0.36,0.75,32,11.9,0.534,2.8,7.7,7.2,1.9,0.4,7.2,16.4,0.1,10.33333333,227.2,123,45,125,23,98,39,4,318,0
131,PJ Dozier,G,22,BOS,4,0,0.5,,0,25,0.583,21.2,21.4,0,0,0,0,26,0,2,5.6,3,1,2,2,2,0,0,7,0
132,Goran Dragic,G,32,MIA,14,14,0.314,0.76,10,13.4,0.51,2,5.5,26.7,1.2,0.8,14.3,25.4,0,13.5,137.9,77,22,70,8,35,68,4,214,18109175
133,Andre Drummond,C,25,DET,40,40,0.143,0.512,62,20.3,0.515,16,24.2,6.4,2.3,4.5,13.8,24.1,0.8,23.975,597.5,281,4,28,206,389,50,71,669,0
134,Jared Dudley,F,33,BRK,43,25,0.322,0.629,28,7.2,0.523,2.8,6.9,9.4,1.4,1.1,15.3,11,0.2,7.093023256,157.2,77,39,121,25,95,65,13,215,9530000
135,Kris Dunn,G,24,CHI,16,14,0.36,0.759,22,15,0.522,0.2,8.1,37.1,2.2,0.5,15.9,22.4,0.1,16.6875,171.8,92,9,25,1,71,108,3,215,4221000
